UserName,RecommendedHotel,predicted_rating
Quỳnh,Rosemary Home @ Bai Dai Beach Nha Trang,10.657183
THI,HANZ Panorama Grand Residencé,11.202332
THI,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.049908
THI,Panorama Center Ocean View,11.047742
THI,HANZ Muong Thanh Vien Trieu Condo Hotel,10.999399
THI,The Sea Luxury Nha Trang Apartment,10.80986
Đặng,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.951127
Đặng,HANZ Panorama Grand Residencé,11.86279
Đặng,Panorama Center Ocean View,11.646972
Đặng,HANZ Muong Thanh Vien Trieu Condo Hotel,11.638982
Đặng,The Arena Cam Ranh Beach seaside,10.856304
Huynh,HANZ Panorama Grand Residencé,12.102909
Huynh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.895223
Huynh,HÀO PHÁT HOTEL NHA TRANG,11.103383
Huynh,Gran Meliá Nha Trang,10.528596
Huynh,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.499483
Nguyễn,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.161455
Nguyễn,HANZ Panorama Grand Residencé,10.774276
Nguyễn,Panorama Center Ocean View,10.685808
Nguyễn,Gold Coast Hotel Nha Trang,10.642499
Nguyễn,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.638317
Thị,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.941089
Thị,HANZ Panorama Grand Residencé,11.178958
Thị,The Arena Cam Ranh Beach seaside,11.127722
Thị,HANZ Muong Thanh Vien Trieu Condo Hotel,10.963762
Thị,Panorama Center Ocean View,10.867025
Nguyen,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.1987295
Nguyen,HANZ Panorama Grand Residencé,11.036928
Nguyen,HÀO PHÁT HOTEL NHA TRANG,10.892483
Nguyen,The Arena Cam Ranh Beach seaside,10.841616
Nguyen,HANZ Muong Thanh Vien Trieu Condo Hotel,10.822958
Nguyen,InterContinental Residences Nha Trang,10.634171
kieu,HANZ Panorama Grand Residencé,7.6860237
kieu,HANZ Muong Thanh Vien Trieu Condo Hotel,7.5434375
kieu,Panorama Center Ocean View,7.455964
kieu,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),7.0957165
kieu,The Arena Cam Ranh Beach seaside,7.033211
kieu,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",6.9536943
Kieu,HANZ Panorama Grand Residencé,12.41657
Kieu,HANZ Muong Thanh Vien Trieu Condo Hotel,12.207631
Kieu,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.031666
Kieu,Gold Coast Hotel Nha Trang,10.973052
Kieu,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.897577
Kieu,Gran Meliá Nha Trang,10.690781
Kieu,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",10.6869545
Khánh,HANZ Panorama Grand Residencé,12.112631
Khánh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.902522
Khánh,Panorama Center Ocean View,11.797888
Khánh,The Arena Cam Ranh Beach seaside,11.44157
Khánh,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",11.401512
Khánh,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.069462
Hoàng,HANZ Panorama Grand Residencé,12.035965
Hoàng,HANZ Muong Thanh Vien Trieu Condo Hotel,11.8194
Hoàng,Panorama Center Ocean View,11.55397
Hoàng,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.135473
Hoàng,Bondi Backpackers (Bondi Backpackers Nha Trang),11.11018
Hoàng,Nomad Apartment,11.067392
Hoàng,Vinpearl Luxury Nha Trang,10.795068
Hằng,Panorama Center Ocean View,11.485405
Hằng,Gold Coast Hotel Nha Trang,11.367921
Hằng,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.139253
Hằng,HANZ Panorama Grand Residencé,11.013641
Hằng,Nomad Apartment,10.859002
Le,Gold Coast Hotel Nha Trang,12.221849
Le,The Pool Villa Cam Ranh - All Private Pool Villas,12.044564
Le,HANZ Panorama Grand Residencé,11.371187
Le,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.1955595
Le,HANZ Muong Thanh Vien Trieu Condo Hotel,11.158899
Le,Cam Ranh Mystery Villas & Spa,10.932817
Le,Panorama Center Ocean View,10.883865
Truong,HANZ Panorama Grand Residencé,11.706059
Truong,HANZ Muong Thanh Vien Trieu Condo Hotel,11.492608
Truong,Angela Cam Ranh( gần sân bay Cam Ranh) (Angela Cam Ranh( near the Airport Cam Ranh)),11.444317
Truong,Panorama Center Ocean View,11.110678
Truong,The Arena Cam Ranh Beach seaside,11.067428
Truong,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.014414
Minh,HANZ Panorama Grand Residencé,12.147204
Minh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.935119
Minh,Panorama Center Ocean View,10.930439
Minh,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),10.591707
Lê,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.234037
Lê,Rosemary Home @ Bai Dai Beach Nha Trang,10.817815
Lê,HÀO PHÁT HOTEL NHA TRANG,10.808719
Loc,HANZ Panorama Grand Residencé,11.340513
Loc,HANZ Muong Thanh Vien Trieu Condo Hotel,11.15281
Loc,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.896442
Loc,Starlight Nha Trang,10.576639
Loc,HÀO PHÁT HOTEL NHA TRANG,10.467861
Loc,The Arena Cam Ranh Beach seaside,10.461188
Loc,Khách sạn & Căn hộ Moonlight Bay (Moonlight Bay hotel & apartment),10.368224
thanh,HANZ Panorama Grand Residencé,10.974653
thanh,Panorama Center Ocean View,10.76601
thanh,HANZ Muong Thanh Vien Trieu Condo Hotel,10.758646
thanh,HÀO PHÁT HOTEL NHA TRANG,10.677473
thanh,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.654805
Thai,HANZ Panorama Grand Residencé,11.376421
Thai,HANZ Muong Thanh Vien Trieu Condo Hotel,11.166663
Thai,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.883042
Thai,Panorama Center Ocean View,10.581239
Thai,Nomad Apartment,10.441755
Thai,Hà Nhung Hotel Nha Trang,10.395395
Thai,HÀO PHÁT HOTEL NHA TRANG,10.327503
Son,HANZ Panorama Grand Residencé,12.813003
Son,HANZ Muong Thanh Vien Trieu Condo Hotel,12.618872
Son,HÀO PHÁT HOTEL NHA TRANG,10.955204
Son,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.938443
Son,Panorama Center Ocean View,10.913256
Son,Vinpearl Luxury Nha Trang,10.711111
Phuong,HANZ Panorama Grand Residencé,11.846528
Phuong,HANZ Muong Thanh Vien Trieu Condo Hotel,11.63179
Phuong,HÀO PHÁT HOTEL NHA TRANG,10.71423
Phuong,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.460175
Phuong,Gran Meliá Nha Trang,10.439614
Phuong,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.406392
Hung,HANZ Panorama Grand Residencé,12.129223
Hung,HANZ Muong Thanh Vien Trieu Condo Hotel,11.938981
Hung,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.808598
Hung,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),10.726293
Hung,InterContinental Residences Nha Trang,10.677515
Bàng,HANZ Panorama Grand Residencé,10.398736
Bàng,HANZ Muong Thanh Vien Trieu Condo Hotel,10.205829
Bàng,Panorama Center Ocean View,10.087481
Bàng,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.600084
Bàng,The Arena Cam Ranh Beach seaside,9.515521
Bàng,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",9.407937
Phú,The Pool Villa Cam Ranh - All Private Pool Villas,10.106052
Phú,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),10.104443
Phú,Khách sạn Long Hồ (Long Hồ Hotel),9.991827
Phú,CAM RANH NHA TRANG SEAVIEW RESORT,9.87244
Phú,Vinpearl Luxury Nha Trang,9.756907
Phú,La Paloma Villa,9.734344
Phương,HANZ Panorama Grand Residencé,11.947376
Phương,HANZ Muong Thanh Vien Trieu Condo Hotel,11.735653
Phương,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)",10.959089
Phương,HÀO PHÁT HOTEL NHA TRANG,10.935763
Phương,Panorama Center Ocean View,10.846392
Phương,The Arena Cam Ranh Beach seaside,10.803035
Anh,HANZ Panorama Grand Residencé,12.199827
Anh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.988792
Anh,Gold Coast Hotel Nha Trang,10.895057
